sample,DOI,flux,se,legacy,moisture,prop.comb,plot
1,1,81.52,3.64,unknown,mesic-subxeric,mid,SS33-6B
2,1,15.21,4.43,unknown,subhygric,low,SS33-6C
3,1,81.01,1.01,non.leg,mesic,high,SS33-9C
4,1,5.23,NA,unknown,mesic,mid,SS33-27B
5,1,67.97,1.1,non.leg,mesic,low,ZF20-8C
6,1,1.97,1.37,unknown,mesic,low,ZF20-9B
7,1,23.37,0.07,non.leg,mesic,low,ZF20-12B
8,1,12.31,0.68,leg.C,mesic,mid,ZF20-34C
9,1,38.64,0.55,unknown,mesic-subhygric,low,ZF20-35A
10,1,33.76,1.76,unknown,mesic,mid,ZF20-52C
11,1,5.62,2.53,leg.C,mesic-subxeric,high,ZF20-59B
12,1,10.04,1.54,non.leg,mesic-subhygric,mid,ZF20-64C
13,1,88.1,0.3,leg.C,subhygric,low,ZF26-5C
14,1,96.04,2.18,non.leg,mesic-subxeric,mid,ZF26-6B
15,1,72.13,4.82,leg.C,mesic-subhygric,low,ZF26-7C
16,1,41.2,2.71,unknown,mesic-subhygric,low,ZF26-50C
17,1,26.24,1.64,leg.C,mesic-subxeric,high,ZF26-54B
18,1,39.68,2.18,unknown,mesic-subhygric,low,ZF26-66B
19,1,24.65,3,unknown,subhygric,low,ZF26-98B
20,1,30.85,1.32,unknown,mesic-subhygric,low,ZF26-104A
21,1,29.53,1.34,unknown,mesic-subhygric,low,ZF26-118B
22,1,34.44,0.52,non.leg,mesic-subhygric,mid,ZF35-11A
23,1,5.12,0.4,leg.C,mesic,low,ZF35-24A
24,1,13.02,0.72,leg.C,subhygric,low,ZF35-33A
25,1,11.49,0.6,leg.C,mesic-subhygric,low,ZF35-37B
26,1,72.05,2.56,leg.C,subhygric,low,ZF44-5A
27,1,88.85,2.2,unknown,mesic,mid,ZF44-16A
28,1,33.24,3.28,unknown,subhygric,low,ZF44-51C
29,1,23.61,1.03,leg.C,mesic,mid,ZF46-1C
30,1,2.4,0.5,unknown,mesic-subhygric,low,ZF46-15C
31,1,5.39,0.37,leg.C,mesic-subhygric,low,ZF46-18B
32,1,29.55,0.18,non.leg,mesic-subhygric,mid,ZF46-21B
33,1,43.39,1.11,unknown,mesic,high,ZF46-24B
34,1,38.86,2.92,unknown,subhygric,low,ZF46-30B
35,1,2.57,NA,leg.C,mesic-subxeric,low,ZF46-35A
36,1,2.45,0.58,unknown,mesic,low,ZF46-48A
37,1,35.23,1.12,unknown,mesic,mid,ZF46-51A
38,1,17.01,0.79,leg.C,subhygric,low,ZF104-4B
39,1,6.43,1.5,unknown,subhygric,low,ZF104-12B
40,1,27.48,0.94,unknown,subhygric,low,ZF104-26A
41,1,17.51,0.66,unknown,subhygric,low,ZF104-57B
1,2,66.81578591,2.207196831,unknown,mesic-subxeric,mid,SS33-6B
2,2,11.95194052,5.049251335,unknown,subhygric,low,SS33-6C
3,2,82.73972623,0.622687274,non.leg,mesic,high,SS33-9C
4,2,11.05071236,NA,unknown,mesic,mid,SS33-27B
5,2,67.6335408,1.966804175,non.leg,mesic,low,ZF20-8C
6,2,3.869780382,2.556631158,unknown,mesic,low,ZF20-9B
7,2,24.6733309,1.033148729,non.leg,mesic,low,ZF20-12B
8,2,18.77639113,0.727291077,leg.C,mesic,mid,ZF20-34C
9,2,38.53813012,0.085549063,unknown,mesic-subhygric,low,ZF20-35A
10,2,27.26980242,3.069785902,unknown,mesic,mid,ZF20-52C
11,2,7.23290183,4.13587178,leg.C,mesic-subxeric,high,ZF20-59B
12,2,9.956336347,2.214667485,non.leg,mesic-subhygric,mid,ZF20-64C
13,2,89.50682608,3.492546034,leg.C,subhygric,low,ZF26-5C
14,2,101.3661517,4.034657914,non.leg,mesic-subxeric,mid,ZF26-6B
15,2,69.33779833,7.201597189,leg.C,mesic-subhygric,low,ZF26-7C
16,2,40.71484804,3.466232745,unknown,mesic-subhygric,low,ZF26-50C
17,2,25.7703941,2.71293563,leg.C,mesic-subxeric,high,ZF26-54B
18,2,38.55716289,2.956908796,unknown,mesic-subhygric,low,ZF26-66B
19,2,22.15392096,4.845998158,unknown,subhygric,low,ZF26-98B
20,2,30.67907118,2.544078335,unknown,mesic-subhygric,low,ZF26-104A
21,2,29.39008721,2.059698195,unknown,mesic-subhygric,low,ZF26-118B
22,2,34.96423895,1.28630321,non.leg,mesic-subhygric,mid,ZF35-11A
23,2,5.478881698,0.755282437,leg.C,mesic,low,ZF35-24A
24,2,12.86889958,1.370749537,leg.C,subhygric,low,ZF35-33A
25,2,12.02226271,1.231120665,leg.C,mesic-subhygric,low,ZF35-37B
26,2,67.98978098,7.415368417,leg.C,subhygric,low,ZF44-5A
27,2,78.46445271,3.125918277,unknown,mesic,mid,ZF44-16A
28,2,31.9046837,3.332362404,unknown,subhygric,low,ZF44-51C
29,2,14.51987461,2.188299665,leg.C,mesic,mid,ZF46-1C
30,2,1.850312659,0.500932293,unknown,mesic-subhygric,low,ZF46-15C
31,2,2.764693881,0.428638797,leg.C,mesic-subhygric,low,ZF46-18B
32,2,13.67293196,1.608136646,non.leg,mesic-subhygric,mid,ZF46-21B
33,2,45.68857664,0.06015089,unknown,mesic,high,ZF46-24B
34,2,23.13715206,2.727393701,unknown,subhygric,low,ZF46-30B
35,2,NA,NA,leg.C,mesic-subxeric,low,ZF46-35A
36,2,1.79053923,0.519071923,unknown,mesic,low,ZF46-48A
37,2,33.64649786,1.111207538,unknown,mesic,mid,ZF46-51A
38,2,16.69560731,0.37501703,leg.C,subhygric,low,ZF104-4B
39,2,4.518139618,1.743911859,unknown,subhygric,low,ZF104-12B
40,2,27.11269104,1.333448261,unknown,subhygric,low,ZF104-26A
41,2,17.47319923,0.764649236,unknown,subhygric,low,ZF104-57B
1,4,66.38277772,6.684686951,unknown,mesic-subxeric,mid,SS33-6B
2,4,13.87012392,7.973297448,unknown,subhygric,low,SS33-6C
3,4,81.47335242,1.365058552,non.leg,mesic,high,SS33-9C
4,4,30.54880734,NA,unknown,mesic,mid,SS33-27B
5,4,68.6664157,4.107820144,non.leg,mesic,low,ZF20-8C
6,4,6.293644609,4.215161182,unknown,mesic,low,ZF20-9B
7,4,25.30105007,2.17583435,non.leg,mesic,low,ZF20-12B
8,4,18.97154074,3.887041729,leg.C,mesic,mid,ZF20-34C
9,4,43.32831056,3.903366104,unknown,mesic-subhygric,low,ZF20-35A
10,4,37.05668011,0.808918906,unknown,mesic,mid,ZF20-52C
11,4,8.606283002,5.548497959,leg.C,mesic-subxeric,high,ZF20-59B
12,4,13.20041891,3.669785688,non.leg,mesic-subhygric,mid,ZF20-64C
13,4,87.55013192,3.755514716,leg.C,subhygric,low,ZF26-5C
14,4,105.6495451,5.053334353,non.leg,mesic-subxeric,mid,ZF26-6B
15,4,68.4399171,8.837071829,leg.C,mesic-subhygric,low,ZF26-7C
16,4,40.36103752,4.02197794,unknown,mesic-subhygric,low,ZF26-50C
17,4,26.09117572,3.337768185,leg.C,mesic-subxeric,high,ZF26-54B
18,4,38.65302102,3.701545738,unknown,mesic-subhygric,low,ZF26-66B
19,4,20.27020561,5.621931566,unknown,subhygric,low,ZF26-98B
20,4,31.87093058,3.120722069,unknown,mesic-subhygric,low,ZF26-104A
21,4,29.99716291,2.663305285,unknown,mesic-subhygric,low,ZF26-118B
22,4,35.31029637,1.958321284,non.leg,mesic-subhygric,mid,ZF35-11A
23,4,5.704985312,0.928377157,leg.C,mesic,low,ZF35-24A
24,4,13.18566351,1.554866513,leg.C,subhygric,low,ZF35-33A
