sample,plot,fire,soil.age,res.age,meann,meanc,C.N,meanmb,mb.cn,flux.c,min.n,flux.mb,mb.c,auc.f,tover,tt,lat_start,long_start,ecoregion,moisture_class,elev,slope,org_layer_depth_transect,density_pinus_banksiana,density_picea_mariana,proportion_picea_mariana,age_stand,burn_depth,proportion_total_c_combustion,proportion_soil_c_combustion,date_of_burn,drought_code,initial_spread_index,buildup_index,fire_weather_index,vapor_pressure_deficit,canada_elev_topo_wet_index,gruber_ruggedness,dNBR,pct_picea_mariana,dry.wt,bulk.den,moisture ,C.den,N.den,ash
1,SS33-6B,SS33,-30.8,NA,1.325,46.14,34.82264151,654.35,6.825,1.106729369,-0.522073417,591.2466212,14.18183788,87.21772898,160.1134635,120.0850976,60.953576,-117.345774,plains,mesic-subxeric,220.576,0,13.2,0,0.9,0.964285715,129,8.667884961,0.319194576,0.886496788,183,360.454,12.629,156.015,43.176,3231.11,11.9698,0.687634,0.323,75.6212,2.98428119,0.139156397,70.39403581,6.420676169,0.184382226,
2,SS33-6C,SS33,-144.8,NA,1.91,37.93,19.85863874,451.8,12.2,0.292451272,0.260802939,1544.872747,11.91141577,21.93929652,597.5063869,448.1297902,60.957272,-117.338616,plains,subhygric,230.002,0,65.5,0,0.216666667,0.40625,72,6.778434066,0.117729331,0.976127734,183,360.454,12.629,156.015,43.176,3231.11,12.4238,0.709549,0.374027,76.6944,2.4192,0.28,76,10.6204,0.5348,
3,SS33-9C,SS33,42.2,114.1,1.33,45.76,34.40601504,1124.9,5.9,1.835136336,-0.872232692,612.9789805,24.5826049,178.6258548,126.9109803,95.18323519,60.943105,-117.377029,plains,mesic,232.947,0,11.1,0,1.45,0.97752809,164,14.64108797,0.435581349,0.811922416,183,360.454,12.629,156.015,43.176,3231.11,11.16,0.519255,0.789064,57.3502,3.889971443,0.092140474,61.25526451,4.216348072,0.12254683,
4,SS33-27B,SS33,-106.3,NA,1.555,34.665,22.2926045,550.9,10.9,0.311859849,-0.097240997,1766.498643,15.8921102,19.09155204,758.1123717,568.5842788,60.844911,-117.461767,plains,mesic,207.507,0,17.8,0,1.216666667,0.986486486,74,12.83736472,0.315063245,0.808919162,183,360.454,12.629,156.015,43.176,3231.11,8.36555,0,0.506,35.0475,2.991418101,0.259057507,70.14552794,8.980228484,0.402834424,42
5,ZF20-8C,ZF20,-24.3,33.3,1.615,45.08,27.91331269,901.65,6.25,1.203799016,-0.320564433,749.0037688,20.00110914,89.70475495,111.7047716,83.77857874,61.843307,-116.636047,plains,mesic,240.021,0,21.3,0,1.383333333,0.87368421,163,7.710438473,0.209696888,0.799729005,198,402.912,7.33692,116.656,27.3511,1486.96,8.873,0,0.696936,34.0236,2.212597824,0.148888132,77.96217307,6.711877003,0.240454334,
6,ZF20-9B,ZF20,-258.2,NA,0.915,25.295,27.64480874,358.6,17.9,0.120555255,0.047536166,2974.569619,14.17671477,7.409867362,4360.659239,3270.494429,61.795912,-116.737058,plains,mesic,223.551,0,28.7,0,0.55,0.825,85,9.64457332,0.168936898,0.834493559,193,359.711,9.47323,93.4823,29.4039,1624.74,10.634,0,0.708318,34.0575,4.85362083,0.777739124,51.60896481,19.67291114,0.711631298,
7,ZF20-12B,ZF20,-163.5,33.4,1.825,39.74,21.77534247,638.3,13.3,0.568169514,0.098420318,1123.432329,16.06190237,50.10116257,404.3171699,303.2378774,61.735526,-116.833622,plains,mesic,223.095,0,26.1,0.116666667,0.6,0.620689655,73,6.927808413,0.142025218,0.830462801,197,409.185,7.58668,97.6202,25.7935,1250.1,13.2522,0,0.294864,53.5354,3.332121578,0.224625739,66.67878422,8.926626873,0.409941974,
8,ZF20-34C,ZF20,-183.6,-36.4,2.025,38.805,19.16296296,714.15,8.45,0.392524822,-0.15498962,1819.375385,18.40355624,32.7632514,713.0572385,534.7929289,61.607776,-117.156656,plains,mesic,190.817,0,11.2,0.016666667,0.166666667,0.714285714,87,7.232943402,0.252332733,0.939201927,211,483.613,6.56623,98.4223,23.4113,3714.35,11.0105,0,0.2652,57.3502,3.964350738,0.207464683,60.59293501,8.050667023,0.420115983,26
9,ZF20-35A,ZF20,-264.1,NA,1.75,39.64,22.65142857,777.8,7.4,0.934334764,-0.397427284,832.4639415,19.62159435,78.65293313,248.05667,186.0425025,61.632267,-117.101575,plains,mesic-subhygric,214.816,0,18.6,0.05,0.316666667,0.487179488,95,9.735823723,0.413160823,0.830442597,213,497.438,7.82193,105.763,27.3671,1967.25,9.68464,0,0.510209,24.7451,3.353358053,0.178826103,66.46641947,7.088666708,0.31294568,
10,ZF20-52C,ZF20,-36,NA,1.73,41.16,23.79190751,1022.825,7.425,0.943302309,-0.384722186,1084.302445,24.8499757,89.77281584,297.4381153,223.0785865,61.620689,-117.119482,plains,mesic,203.763,0,11.1,0,2.85,1,93,6.412051896,0.323502283,0.892652504,212,490.268,6.2815,101.589,23.047,1156.9,12.8873,0,0.465227,73.6444,4.215176349,0.127453952,58.01617182,5.246004671,0.220495337,
